Hours	De-Aar	Pretoria	Springbok	Upington
548	957	854	1016	989
549	957	854	1015	989
550	957	854	1015	989
551	956	854	1015	989
552	956	854	1015	989
553	956	854	1014	988
554	955	854	1014	988
555	954	854	1014	988
556	954	854	1014	988
557	954	854	1013	987
558	954	853	1012	987
559	954	853	1012	987
560	954	853	1011	987
561	953	853	1011	987
562	953	853	1011	986
563	952	853	1011	986
564	952	853	1011	986
565	952	852	1011	986
566	952	852	1011	986
567	951	852	1011	985
568	951	852	1010	985
569	951	852	1009	985
570	951	852	1009	985
571	950	851	1009	985
572	950	851	1008	985
573	949	851	1008	985
574	949	851	1008	985
575	948	851	1008	984
576	948	851	1007	984
577	948	850	1007	984
578	947	850	1006	984
579	947	850	1006	984
580	946	850	1006	984
581	946	850	1006	984
582	946	850	1006	983
583	946	850	1006	983
584	945	850	1006	982
585	945	850	1006	982
586	945	850	1005	982
587	945	850	1005	982
588	945	849	1004	982
589	945	849	1004	982
590	944	849	1004	982
591	944	849	1004	981
592	944	849	1004	981
593	943	849	1003	981
594	943	848	1003	980
595	943	848	1003	980
596	942	848	1003	980
597	942	847	1003	980
598	942	847	1002	980
599	942	847	1002	979
600	942	847	1002	979
601	941	847	1002	979
602	941	847	1002	979
603	941	847	1002	978
604	941	847	1002	978
605	941	846	1002	978
606	940	846	1001	978
607	940	846	1001	978
608	940	846	1000	978
609	939	846	1000	978
610	939	846	1000	976
611	939	846	999	976
612	938	845	999	976
613	938	845	999	976
614	938	845	999	976
615	937	845	999	976
616	937	845	999	976
617	937	845	999	976
618	937	845	999	975
619	936	845	998	975
620	936	845	998	975
621	936	845	998	975
622	935	844	998	974
623	935	844	998	974
624	935	844	997	974
625	934	844	997	974
626	934	844	997	974
627	934	844	997	974
628	934	844	997	973
629	933	844	996	973
630	933	844	996	973
631	932	844	996	973
632	931	844	996	973
633	931	844	996	973
634	930	843	995	973
635	930	843	995	973
636	930	843	995	972
637	930	843	995	972
638	929	843	995	971
639	928	843	994	971
640	928	843	994	971
641	928	842	994	970
642	928	842	993	970
643	928	841	993	970
644	928	841	993	970
645	928	841	993	970
646	927	841	993	970
647	927	841	992	970
648	927	841	991	969
649	926	841	990	969
650	926	841	990	967
651	926	841	990	967
652	926	841	990	967
653	925	840	989	967
654	925	840	989	967
655	925	840	989	966
656	925	840	989	966
657	924	840	989	966
658	924	840	989	965
659	924	840	989	965
660	923	840	989	965
661	923	839	989	965
662	923	839	988	965
663	922	839	988	964
664	922	839	988	964
665	922	839	987	964
666	922	839	987	964
667	922	839	987	964
668	921	839	987	963
669	921	838	987	963
670	921	838	987	963
671	921	838	987	962
672	920	838	987	962
673	920	838	987	961
674	920	838	986	961
675	920	838	986	961
676	920	838	986	961
677	919	838	986	960
678	919	838	985	960
679	919	838	985	960
680	918	837	984	960
681	918	837	984	960
682	918	837	984	959
683	918	837	984	959
684	917	837	984	958
685	917	837	984	958
686	917	837	983	958
687	916	836	983	957
688	916	836	983	957
689	916	836	982	957
690	916	836	982	957
691	916	835	982	957
692	915	835	982	956
693	915	835	982	956
694	914	835	982	955
695	913	835	982	955
696	913	834	981	955
697	913	834	981	955
698	912	834	980	955
699	912	834	980	955
700	912	834	980	955
701	912	834	980	955
702	912	833	980	954
703	911	833	979	954
704	910	833	979	954
705	909	833	979	954
706	909	833	979	954
707	909	833	979	953
708	909	833	979	953
709	909	833	979	953
710	908	832	979	953
711	908	832	978	952
712	908	832	978	952
713	908	832	978	952
714	908	832	978	952
715	908	832	978	952
716	908	832	978	952
717	908	832	978	952
718	907	831	977	951
719	907	831	977	951
720	907	831	977	951
721	906	831	976	951
722	906	831	976	950
723	906	831	976	950
724	906	831	976	950
725	906	830	976	950
726	906	830	975	949
727	906	830	975	949
728	905	830	975	949
729	905	830	975	949
730	905	830	975	948
731	905	830	974	948
732	905	830	974	948
733	905	830	973	948
734	905	830	973	947
735	905	830	973	947
736	904	830	973	947
737	904	829	973	947
738	904	829	973	947
739	904	829	973	947
740	904	829	973	946
741	904	829	973	945
742	904	829	972	945
743	904	829	972	945
744	903	828	972	945
745	903	828	971	945
746	903	828	971	944
747	903	828	971	944
748	903	828	971	943
749	903	828	971	943
750	902	828	970	943
751	902	827	970	943
752	902	827	970	942
753	901	827	970	942
754	901	827	970	942
755	901	827	970	942
756	901	827	970	942
757	901	826	969	941
758	901	826	969	941
759	900	826	968	941
760	900	826	968	941
761	900	826	968	941
762	900	826	968	940
763	899	826	967	940
764	899	826	967	940
765	899	826	967	940
766	899	825	967	940
767	899	825	967	940
768	899	825	967	940
769	899	825	966	940
770	899	825	966	939
771	899	825	966	939
772	899	825	966	938
773	899	825	966	938
774	899	825	966	938
775	898	824	965	938
776	898	824	965	938
777	898	824	965	938
778	898	824	964	937
779	898	824	964	937
780	898	824	964	936
781	898	824	963	936
782	898	824	963	936
783	897	823	963	936
784	896	823	963	936
785	896	823	963	936
786	896	823	963	935
787	896	823	963	935
788	896	823	962	935
789	896	823	961	935
790	896	823	961	935
791	895	823	961	934
792	895	823	961	934
793	895	823	961	934
794	895	823	961	934
795	895	823	961	934
796	895	823	960	934
797	895	822	960	933
798	894	822	960	933
799	894	822	959	933
800	894	822	959	933
801	894	821	959	933
802	894	821	959	933
803	893	821	959	933
804	893	821	959	932
805	893	821	959	932
806	893	821	958	932
807	893	820	958	932
808	893	820	958	932
809	892	820	957	932
810	892	820	957	932
811	892	820	957	931
812	892	820	956	930
813	892	820	956	930
814	891	820	955	930
815	891	820	955	930
816	891	820	955	930
817	891	819	955	930
818	891	819	955	929
819	891	819	954	929
820	890	819	954	929
821	890	819	954	928
822	890	819	954	928
823	890	818	954	928
824	890	818	953	928
825	890	818	953	928
826	889	817	952	928
827	889	817	952	928
828	889	817	952	927
829	889	817	952	927
830	888	817	951	927
831	888	817	951	927
832	888	816	951	927
833	888	816	951	927
834	887	816	951	927
835	887	815	951	927
836	887	815	951	926
837	887	815	951	926
838	887	814	950	926
839	887	814	949	926
840	886	814	949	925
841	886	814	949	925
842	886	814	949	925
843	885	814	949	925
844	885	814	949	925
845	885	814	948	924
846	884	814	948	923
847	884	813	948	923
848	884	813	947	923
849	884	813	947	922
850	884	813	947	922
851	884	812	947	922
852	884	812	946	922
853	883	812	946	921
854	883	812	946	921
855	883	812	946	920
856	883	812	944	920
857	882	811	944	920
858	882	810	944	920
859	882	810	943	919
860	882	810	943	919
861	882	809	943	919
862	882	809	943	919
863	882	809	942	919
864	881	808	942	919
865	881	808	942	919
866	881	808	941	918
867	881	807	941	918
868	880	807	941	918
869	880	806	940	918
870	880	806	940	918
871	880	806	940	917
872	879	805	940	917
873	879	805	940	917
874	878	805	940	917
875	878	805	940	917
876	878	805	939	916
877	878	805	939	916
878	878	804	939	916
879	878	804	939	916
880	878	804	938	916
881	877	804	938	916
882	877	804	938	916
883	877	804	938	916
884	876	803	938	915
885	876	803	937	915
886	876	803	937	915
887	876	802	937	915
888	876	802	937	915
889	875	802	936	915
890	875	802	936	915
891	875	802	936	914
892	875	802	935	914
893	875	802	935	914
894	875	801	935	914
895	875	801	935	913
896	875	801	934	913
897	875	801	934	913
898	875	799	934	913
899	874	799	934	913
900	874	798	933	913
901	874	798	933	913
902	873	798	933	912
903	873	798	933	912
904	873	798	933	912
905	873	797	933	912
906	872	797	933	912
907	872	797	933	912
908	872	797	932	912
909	872	796	932	911
910	872	796	932	911
911	872	796	932	911
912	872	796	931	911
913	872	796	931	911
914	872	796	931	910
915	871	796	931	910
916	871	795	931	910
917	871	795	931	910
918	871	795	931	910
919	871	794	930	910
920	871	794	930	910
921	871	794	930	910
922	870	794	930	910
923	870	794	930	909
924	870	793	930	909
925	870	793	930	909
926	870	793	929	909
927	869	793	929	908
928	869	793	929	908
929	869	793	929	908
930	869	792	929	908
931	869	792	929	907
932	869	792	929	907
933	869	792	929	907
934	868	792	929	907
935	868	792	929	907
936	868	792	928	906
937	868	792	928	906
938	868	792	928	906
939	868	791	927	906
940	868	791	927	905
941	867	791	927	905
942	867	791	927	905
943	866	791	927	905
944	866	791	927	905
945	866	791	927	904
946	866	790	927	904
947	866	790	927	904
948	865	790	926	904
949	865	790	925	904
950	865	790	925	903
951	865	790	925	903
952	865	790	925	903
953	865	790	925	903
954	865	790	925	903
955	865	790	925	903
